"","primer","Depth","env_broad_scale","env_local_scale","env_medium","geo_loc_name","Sample.Name","ammonium","nitrate","diss_oxygen","ph","lake","info","depth","temp","conductivity","ChlA","turbidity","PAR","DRP","is_delta","latitude","longitude","BioProject","BioSample","BioSampleModel","Collection_Date","Experiment","geo_loc_name_country","geo_loc_name_country_continent","lat_lon","Library.Name","Organism","SRA.Study","elev","tot_org_carb","calcium","Chloride","magnesium","org_carb","sulfate","diss_org_carb","Salinity","potassium","sodium","TEMP","altitude"
"SRR3931290","E527F_E1009R","deep","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_deep_mat_RNA_1",NA,NA,81,7.67,NA,NA,10,5.05,309,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413969","Metagenome or environmental","15/07/2015","SRX1960757","Canada","North America","83.05 N 74.08 W","DB1_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931291","E527F_E1009R","shallow","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_shallow_mat_RNA_1",NA,NA,143.9,7.91,NA,NA,6,5.72,302,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413970","Metagenome or environmental","21/07/2015","SRX1960758","Canada","North America","83.05 N 74.10 W","SB1_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931293","E527F_E1009R","surface","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_littoral_mat_RNA_1",NA,NA,97.6,8.66,NA,NA,0.2,0.11,41,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413971","Metagenome or environmental","19/07/2015","SRX1960760","Canada","North America","83.05 N 74.09 W","L1_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931294","E527F_E1009R","deep","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_deep_mat_RNA_2",NA,NA,81,7.67,NA,NA,10,5.05,309,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413973","Metagenome or environmental","15/07/2015","SRX1960761","Canada","North America","83.05 N 74.08 W","DB2_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931295","E527F_E1009R","shallow","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_shallow_mat_RNA_2",NA,NA,143.9,7.91,NA,NA,6,5.72,302,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413974","Metagenome or environmental","21/07/2015","SRX1960762","Canada","North America","83.05 N 74.10 W","SB2_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931296","E527F_E1009R","surface","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_littoral_mat_RNA_2",NA,NA,97.6,8.66,NA,NA,0.2,0.11,41,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413975","Metagenome or environmental","19/07/2015","SRX1960763","Canada","North America","83.05 N 74.09 W","L2_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931297","E527F_E1009R","deep","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_deep_mat_RNA_3",NA,NA,81,7.67,NA,NA,10,5.05,309,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413976","Metagenome or environmental","15/07/2015","SRX1960764","Canada","North America","83.05 N 74.08 W","DB3_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931298","E527F_E1009R","shallow","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_shallow_mat_RNA_3",NA,NA,143.9,7.91,NA,NA,6,5.72,302,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413977","Metagenome or environmental","21/07/2015","SRX1960765","Canada","North America","83.05 N 74.10 W","SB3_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931299","E527F_E1009R","surface","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_littoral_mat_RNA_3",NA,NA,97.6,8.66,NA,NA,0.2,0.11,41,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05413978","Metagenome or environmental","19/07/2015","SRX1960766","Canada","North America","83.05 N 74.09 W","L3_RNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3931300","E527F_E1009R","deep","Ward_Hunt_Lake","Ice-Covered Lake","mat","Canada","WH_deep_mat_1",NA,NA,81,7.67,NA,NA,10,5.05,309,NA,NA,NA,NA,NA,NA,NA,"PRJNA329332","SAMN05414731","Metagenome or environmental","15/07/2015","SRX1960767","Canada","North America","83.05 N 74.08 W","DB1_DNA_Euk","microbial mat metagenome","SRP078933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
